Fecha,APPL.PN,APPL.Nuevos,APPL.PF,APPL.Fallecidos,APPL.AR,APPL.Recuperados,APPL.Activos
2020-03-31,10,10,0,1,0,0,10
2020-04-01,8,123,1,8,1,1,114
2020-04-02,9,132,1,9,1,2,121
2020-04-03,7,139,1,10,0,2,127
2020-04-04,18,157,0,10,0,2,145
2020-04-05,26,183,1,11,0,2,170
2020-04-06,11,194,3,14,1,3,177
2020-04-07,16,210,1,15,0,3,192
2020-04-08,54,264,3,18,0,3,243
2020-04-09,4,268,1,19,1,4,245
2020-04-10,7,275,1,20,0,4,251
2020-04-11,25,300,4,24,0,4,272
2020-04-12,30,330,3,27,2,6,297
2020-04-13,24,354,1,28,0,6,320
2020-04-14,43,397,0,28,1,7,362
2020-04-15,44,441,1,29,7,14,398
2020-04-16,24,465,2,31,12,26,408
2020-04-17,28,493,0,31,5,31,431
2020-04-18,27,520,1,32,0,31,457
2020-04-19,44,564,1,33,0,31,500
2020-04-20,34,598,1,34,16,47,517
2020-04-21,11,609,3,37,0,47,525
2020-04-22,63,672,3,40,3,50,582
2020-04-23,31,703,3,43,13,63,597
2020-04-24,104,807,1,44,0,63,700
2020-04-25,59,866,2,46,12,75,745
2020-04-26,84,950,4,50,6,81,819
2020-04-27,64,1014,3,53,19,100,861
2020-04-28,39,1053,2,55,10,110,888
2020-04-29,57,1110,4,59,7,117,934
2020-04-30,57,1167,3,62,15,132,973
2020-05-01,62,1229,4,66,2,134,1029
2020-05-02,241,1470,5,71,25,159,1240
2020-05-03,124,1594,5,76,7,166,1352
2020-05-04,87,1681,6,82,8,174,1425
2020-05-05,121,1802,4,86,13,187,1529
2020-05-06,84,1886,5,91,11,198,1597
2020-05-07,195,2081,11,102,21,219,1760
2020-05-08,185,2266,4,106,18,237,1923
2020-05-09,171,2437,8,114,21,258,2065
2020-05-10,119,2556,3,117,15,275,2166
2020-05-11,275,2831,4,121,16,289,2421
2020-05-12,133,2964,7,128,24,313,2523
2020-05-13,184,3148,14,142,26,339,2667
2020-05-14,224,3372,10,152,17,356,2864
2020-05-15,205,3577,12,164,78,434,2979
2020-05-16,249,3826,1,165,39,473,3188
2020-05-17,262,4088,4,169,20,493,3426
2020-05-18,175,4263,5,174,10,503,3586
2020-05-19,218,4481,15,189,30,533,3759
2020-05-20,438,4919,10,199,20,553,4167
2020-05-21,268,5187,16,215,8,561,4411
2020-05-22,392,5579,15,230,14,575,4774
2020-05-23,336,5915,10,240,34,609,5066
2020-05-24,348,6263,10,250,20,629,5384
2020-05-25,397,6660,11,261,18,647,5752
2020-05-26,476,7136,13,274,30,677,6185
2020-05-27,632,7768,6,280,12,689,6799
2020-05-28,619,8387,13,293,49,738,7356
2020-05-29,344,8731,7,300,11,749,7682
